East ,South,West,North,Latitude (Actual),Longitude (Actual)
16,8,7,8,36.994063,-122.054585
16,8,7,9,36.996581,-122.054207
18,7,7,9,36.997001,-122.051975
16,8,7,11,36.998075,-122.054613
17,3,7,11,36.999636,-122.053028
16,7,7,15,36.999854,-122.054898
13,5,8,16,37.000627,-122.057635
12,4,8,16,37.00142,-122.058348
11,6,8,9,36.997928,-122.059576
10,8,16,11,36.997947,-122.061316
9,8,15,13,36.998602,-122.060511
9,8,15,14,36.999164,-122.06072
7,5,16,18,37.001019,-122.063344
6,7,15,18,37.000149,-122.063278
7,7,18,15,36.999602,-122.064781
6,8,18,14,36.998798,-122.066172
6,8,18,13,36.99801,-122.066021
8,8,17,9,36.996084,-122.062537
6,8,16,8,36.994681,-122.062631
6,8,18,7,36.994374,-122.065242
6,8,18,7,36.994031,-122.065242
6,11,18,7,36.992497,-122.064421
6,12,18,6,36.991636,-122.065237
6,14,18,7,36.991323,-122.0641
4,12,17,7,36.991359,-122.067599
7,13,17,6,36.990092,-122.062931
9,11,14,9,36.99304,-122.060468
13,9,12,9,36.99427,-122.059514
12,9,9,9,36.995495,-122.058376
14,8,9,9,36.996,-122.056955
9,8,7,12,36.997898,-122.056976
14,11,8,5,36.991615,-122.058094
8,17,15,5,36.98967,-122.061548
8,13,15,9,36.992395,-122.062015
13,9,7,9,36.99444,-122.057206
16,10,8,7,36.992597,-122.056112
16,12,7,7,36.991359,-122.054154
13,7,9,12,36.99855,-122.058075
14,14,10,6,36.990623,-122.058668
13,17,5,3,36.988943,-122.055385
13,18,5,2,36.987418,-122.055336
6,12,17,4,36.990518,-122.063983
4,12,17,5,36.991001,-122.067661
5,8,16,8,36.994313,-122.065488
6,8,16,13,36.998915,-122.065398
4,4,16,16,37.001322,-122.066189
12,4,7,16,37.001183,-122.058261
16,8,7,15,36.999548,-122.053955
16,8,6,10,36.997071,-122.053283
7,18,14,5,36.988869,-122.061257
